ID,Start time,Completion time,Email,Name,Last modified time,"Among the options below, what is your favorite movie genre?","Among the options below, what is your favorite music genre?","Among the options below, what is your favorite type of video game?"
1,12/10/2025 10:26,12/10/2025 10:26,anonymous,,,Comedy,Jazz,Strategy/Puzzles
2,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Action/Thriller,CountryÊ,Action/Adventure
3,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
4,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Action/Thriller,CountryÊ,Action/Adventure
5,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Horror/Mystery,CountryÊ,Action/Adventure
6,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
7,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Horror/Mystery,Rap/Pop/Techno,Action/Adventure
8,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Comedy,Rap/Pop/Techno,Strategy/Puzzles
9,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,Comedy,CountryÊ,Action/Adventure
10,12/10/2025 10:26,12/10/2025 10:27,anonymous,,,Action/Thriller,Rock,Strategy/Puzzles
11,12/10/2025 10:27,12/10/2025 10:27,anonymous,,,Action/Thriller,Rock,Action/Adventure
12,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,Sci-Fi/Fantasy,Rock,Action/Adventure
13,12/10/2025 10:27,12/10/2025 10:28,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Role-Playing Games (RPGS)
14,12/10/2025 10:28,12/10/2025 10:29,anonymous,,,Drama/Romance,CountryÊ,Action/Adventure
15,12/10/2025 10:28,12/10/2025 10:29,anonymous,,,Action/Thriller,Rap/Pop/Techno,Action/Adventure
16,12/10/2025 10:29,12/10/2025 10:29,anonymous,,,Action/Thriller,Rap/Pop/Techno,Role-Playing Games (RPGS)
17,12/10/2025 10:29,12/10/2025 10:30,anonymous,,,Comedy,Rap/Pop/Techno,Action/Adventure
18,12/10/2025 10:29,12/10/2025 10:30,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Strategy/Puzzles
19,12/10/2025 10:29,12/10/2025 10:30,anonymous,,,Comedy,Rap/Pop/Techno,Action/Adventure
20,12/10/2025 10:30,12/10/2025 10:30,anonymous,,,Action/Thriller,Classical,Action/Adventure
21,12/10/2025 10:28,12/10/2025 10:30,anonymous,,,Action/Thriller,Rap/Pop/Techno,Action/Adventure
22,12/10/2025 10:30,12/10/2025 10:30,anonymous,,,Comedy,CountryÊ,Role-Playing Games (RPGS)
23,12/10/2025 10:30,12/10/2025 10:31,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
24,12/10/2025 10:32,12/10/2025 10:32,anonymous,,,Don't watch movies,Rap/Pop/Techno,Role-Playing Games (RPGS)
